time,|psi2|,i1alpha,motorMechanicalAngularVelocity
0.0182,0.40769,-187.592,-7.07693
0.0183,0.404143,-189.151,-7.11055
0.0184,0.400529,-190.5,-7.14255
0.0185,0.39685,-191.638,-7.17294
0.0186,0.393109,-192.564,-7.20171
0.0187,0.389306,-193.277,-7.22884
0.0188,0.385445,-193.778,-7.25434
0.0189,0.381527,-194.065,-7.27821
0.019,0.377554,-194.139,-7.30044
0.0191,0.37353,-194,-7.32103
0.0192,0.369457,-193.649,-7.33999
0.0193,0.365336,-193.085,-7.35731
0.0194,0.361171,-192.31,-7.37301
0.0195,0.356965,-191.325,-7.38708
0.0196,0.352721,-190.132,-7.39954
0.0197,0.348441,-188.73,-7.41039
0.0198,0.344128,-187.123,-7.41965
0.0199,0.339787,-185.312,-7.42733
0.02,0.33542,-183.299,-7.43343
0.0201,0.331031,-181.086,-7.43797
0.0202,0.326623,-178.675,-7.44098
0.0203,0.322201,-176.07,-7.44246
0.0204,0.317768,-173.273,-7.44244
0.0205,0.313329,-170.287,-7.44093
0.0206,0.308888,-167.115,-7.43796
0.0207,0.304451,-163.76,-7.43354
0.0208,0.30002,-160.227,-7.42771
0.0209,0.295603,-156.518,-7.42049
0.021,0.291204,-152.638,-7.4119
0.0211,0.286828,-148.59,-7.40197
0.0212,0.282481,-144.379,-7.39073
0.0213,0.27817,-140.01,-7.37821
0.0214,0.273901,-135.486,-7.36444
0.0215,0.269679,-130.812,-7.34946
0.0216,0.265514,-125.994,-7.33329
0.0217,0.26141,-121.035,-7.31598
0.0218,0.257376,-115.942,-7.29755
0.0219,0.25342,-110.719,-7.27805
0.022,0.24955,-105.372,-7.25751
0.0221,0.245774,-99.9053,-7.23598
0.0222,0.2421,-94.3256,-7.21348
0.0223,0.238537,-88.6383,-7.19006
0.0224,0.235096,-82.849,-7.16577
0.0225,0.231784,-76.9637,-7.14064
0.0226,0.228611,-70.9883,-7.11472
0.0227,0.225587,-64.9289,-7.08805
0.0228,0.222721,-58.7915,-7.06068
0.0229,0.220023,-52.5825,-7.03265
0.023,0.217502,-46.3079,-7.004
0.0231,0.215168,-39.9743,-6.97479
0.0232,0.213029,-33.5879,-6.94507
0.0233,0.211094,-27.1552,-6.91487
0.0234,0.209372,-20.6827,-6.88425
0.0235,0.207869,-14.1769,-6.85325
0.0236,0.206592,-7.6444,-6.82193
0.0237,0.205548,-1.09168,-6.79034
0.0238,0.204742,5.47463,-6.75852
0.0239,0.204178,12.0479,-6.72652
0.024,0.203858,18.6216,-6.6944
0.0241,0.203786,25.1891,-6.6622
0.0242,0.203961,31.7437,-6.62998
0.0243,0.204384,38.279,-6.59779
0.0244,0.205054,44.7883,-6.56567
0.0245,0.205967,51.265,-6.53367
0.0246,0.20712,57.7028,-6.50186
0.0247,0.208508,64.0952,-6.47027
0.0248,0.210127,70.4356,-6.43897
0.0249,0.21197,76.7178,-6.40799
0.025,0.214029,82.9355,-6.37739
0.0251,0.216297,89.0824,-6.34722
0.0252,0.218767,95.1524,-6.31752
0.0253,0.221428,101.139,-6.28836
0.0254,0.224273,107.037,-6.25976
0.0255,0.227292,112.84,-6.23179
0.0256,0.230476,118.542,-6.20449
0.0257,0.233815,124.138,-6.17791
0.0258,0.237301,129.621,-6.15209
0.0259,0.240924,134.987,-6.12708
0.026,0.244674,140.23,-6.10292
0.0261,0.248544,145.344,-6.07966
0.0262,0.252523,150.325,-6.05733
0.0263,0.256604,155.167,-6.036
0.0264,0.260779,159.867,-6.01568
0.0265,0.265038,164.418,-5.99644
0.0266,0.269375,168.816,-5.97829
0.0267,0.273782,173.058,-5.96129
0.0268,0.278252,177.138,-5.94547
0.0269,0.282778,181.052,-5.93087
0.027,0.287353,184.797,-5.91752
0.0271,0.291971,188.369,-5.90545
0.0272,0.296625,191.764,-5.89471
0.0273,0.301311,194.979,-5.88532
0.0274,0.306022,198.01,-5.8773
0.0275,0.310752,200.855,-5.8707
0.0276,0.315497,203.51,-5.86554
0.0277,0.320253,205.973,-5.86184
0.0278,0.325013,208.241,-5.85963
0.0279,0.329774,210.312,-5.85894
0.028,0.334531,212.184,-5.85978
0.0281,0.33928,213.855,-5.86218
0.0282,0.344017,215.323,-5.86615
0.0283,0.348738,216.587,-5.87172
