HEADER
VTF File Version,1.1
VTF File Type,0
PID,2366
Generated on,2021-11-19 09:35:22
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2370
XRT Version,2022.2

STRUCTURE
Group_Start,Low Overhead OpenCL Host Trace
Group_Start,OpenCL API Calls
Dynamic_Row,1,General,API Events not associated with a Queue
Static_Row,2,Queue 0xaaaab222b720,API events associated with the command queue
Group_End,OpenCL API Calls
Group_Start,Data Transfer
Dynamic_Row,3,Read,Read data transfers from global memory to host
Dynamic_Row,4,Write,Write data transfer from host to global memory
Group_End,Data Transfer
Dynamic_Row_Summary,5,Kernel Enqueues,Activity in kernel enqueues
Group_End,Low Overhead OpenCL Host Trace

MAPPING
904,903,12737.633546,1,OPENCL_API_CALL,57
909,0,12737.648877,1,OPENCL_API_CALL,57
911,909,12737.652427,1,OPENCL_API_CALL,57
916,0,12737.669007,1,OPENCL_API_CALL,57
918,916,12737.687287,1,OPENCL_API_CALL,57
924,0,12737.710657,1,OPENCL_API_CALL,57
925,924,12737.714037,1,OPENCL_API_CALL,57
927,0,12737.717887,4,LOP_WRITE_BUFFER,0xffffbb6aa0e0
930,0,12737.728007,1,OPENCL_API_CALL,57
931,930,12737.734328,1,OPENCL_API_CALL,57
938,0,12737.764298,1,OPENCL_API_CALL,57
939,938,12737.770858,1,OPENCL_API_CALL,57
943,0,12737.785048,1,OPENCL_API_CALL,57
944,943,12737.788798,1,OPENCL_API_CALL,57
952,0,12737.819718,1,OPENCL_API_CALL,57
954,952,12737.826868,1,OPENCL_API_CALL,57
958,0,12737.846209,1,OPENCL_API_CALL,57
960,958,12737.850099,1,OPENCL_API_CALL,57
966,0,12737.863469,1,OPENCL_API_CALL,57
968,966,12737.866949,1,OPENCL_API_CALL,57
972,0,12737.882179,1,OPENCL_API_CALL,57
974,972,12737.885319,1,OPENCL_API_CALL,57
980,0,12737.901269,1,OPENCL_API_CALL,57
982,980,12737.904959,1,OPENCL_API_CALL,57
985,0,12737.917519,1,OPENCL_API_CALL,57
987,985,12737.922639,1,OPENCL_API_CALL,57
992,0,12737.939300,1,OPENCL_API_CALL,57
993,992,12737.942940,1,OPENCL_API_CALL,57
1003,0,12737.980270,2,OPENCL_API_CALL,20
1027,927,12738.125431,4,LOP_WRITE_BUFFER,0xffffbb6aa0e0
1053,0,12738.273793,4,LOP_WRITE_BUFFER,0xffffbb6aa0e0
1087,1053,12738.397354,4,LOP_WRITE_BUFFER,0xffffbb6aa0e0
1096,0,12738.488325,5,LOP_KERNEL_ENQUEUE
1101,1003,12738.564816,2,OPENCL_API_CALL,20
1106,0,12738.631596,1,OPENCL_API_CALL,56
1107,1106,12738.635997,1,OPENCL_API_CALL,56
1110,0,12738.650127,1,OPENCL_API_CALL,56
1111,1110,12738.654437,1,OPENCL_API_CALL,56
1115,0,12738.672727,1,OPENCL_API_CALL,56
1116,1115,12738.675917,1,OPENCL_API_CALL,56
1119,0,12738.688457,1,OPENCL_API_CALL,56
1120,1119,12738.691667,1,OPENCL_API_CALL,56
1123,0,12738.706047,2,OPENCL_API_CALL,16
1124,1123,12738.729657,2,OPENCL_API_CALL,16
1128,1096,12738.743788,5,LOP_KERNEL_ENQUEUE
1132,0,12738.771228,1,OPENCL_API_CALL,57
1133,1132,12738.822248,1,OPENCL_API_CALL,57
1141,0,12738.841839,1,OPENCL_API_CALL,57
1144,1141,12738.846589,1,OPENCL_API_CALL,57
1151,0,12738.878249,1,OPENCL_API_CALL,57
1152,0,12738.879799,3,LOP_READ_BUFFER,0xffffbbeba0e0
1153,1151,12738.883419,1,OPENCL_API_CALL,57
1157,0,12738.901729,1,OPENCL_API_CALL,57
1159,1157,12738.905429,1,OPENCL_API_CALL,57
1168,0,12738.940100,1,OPENCL_API_CALL,25
1173,1152,12738.963270,3,LOP_READ_BUFFER,0xffffbbeba0e0
1174,1168,12738.978970,1,OPENCL_API_CALL,25
1177,0,12739.398844,1,OPENCL_API_CALL,57
