Model,RTH1004
SerialNumber,104117
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2023-04-12 14:48:23.18615961,2023-04-12 14:48:23.18615961
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,5e-07,
Horizontal Position,2e-06,
Reference Point,50 %,
Sample Interval,4e-09,
Record Length,1250,
Probe Setting,'10:1','10:1'
Vertical Unit,V,V
Vertical Scale,2,2
Vertical Position,-2,1
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH3
4.4e-07,-0.0156863,3.55294
4.44e-07,-0.172549,3.33333
4.48e-07,-0.109804,1.8902
4.52e-07,-0.109804,0.0392157
4.56e-07,-0.0784314,-0.713725
4.6e-07,-0.141176,-0.494118
4.64e-07,-0.172549,0.384314
4.68e-07,-0.0784314,0.635294
4.72e-07,0.141176,0.290196
4.76e-07,0.141176,0.00784314
4.8e-07,0.0156863,-0.117647
4.84e-07,-0.109804,-0.0235294
4.88e-07,-0.141176,0.0392157
4.92e-07,-0.0470588,0.164706
4.96e-07,-0.0156863,0.823529
5e-07,-0.109804,2.8
5.04e-07,-0.109804,4.21176
5.08e-07,-0.0784314,4.46275
5.12e-07,0.0156863,3.86667
5.16e-07,0.0470588,3.17647
5.2e-07,-0.141176,3.23922
5.24e-07,-0.235294,3.55294
5.28e-07,-0.0784314,3.7098
5.32e-07,0.0156863,3.67843
5.36e-07,0.0784314,3.55294
5.4e-07,0.109804,3.45882
5.44e-07,-0.0470588,3.30196
5.48e-07,0.0156863,1.85882
5.52e-07,-0.0156863,-0.0235294
5.56e-07,-0.0470588,-0.776471
5.6e-07,-0.141176,-0.556863
5.64e-07,-0.235294,0.352941
5.68e-07,-0.172549,0.635294
5.72e-07,0.0156863,0.384314
5.76e-07,0.0156863,0.133333
5.8e-07,-0.0784314,0.00784314
5.84e-07,-0.172549,0.0392157
5.88e-07,-0.203922,0.133333
5.92e-07,-0.109804,0.227451
5.96e-07,-0.0156863,0.823529
6e-07,-0.0470588,2.76863
6.04e-07,-0.0470588,4.14902
6.08e-07,0.0470588,4.43137
6.12e-07,0.141176,3.83529
6.16e-07,0.172549,3.08235
6.2e-07,-0.0470588,3.1451
6.24e-07,-0.203922,3.45882
6.28e-07,-0.109804,3.67843
6.32e-07,-0.0156863,3.7098
6.36e-07,0.0470588,3.61569
6.4e-07,0.0470588,3.52157
6.44e-07,-0.109804,3.39608
6.48e-07,-0.0156863,1.95294
6.52e-07,-0.0470588,0.0392157
6.56e-07,-0.0470588,-0.776471
6.6e-07,-0.141176,-0.556863
6.64e-07,-0.172549,0.321569
6.68e-07,-0.109804,0.635294
6.72e-07,0.172549,0.321569
6.76e-07,0.141176,0.0392157
6.8e-07,-0.0156863,-0.0862745
6.84e-07,-0.109804,-0.0235294
6.88e-07,-0.172549,0.101961
6.92e-07,-0.0784314,0.196078
6.96e-07,-0.0470588,0.792157
7e-07,-0.0784314,2.76863
7.04e-07,-0.0784314,4.24314
7.08e-07,-0.0156863,4.49412
7.12e-07,0.0784314,3.86667
7.16e-07,0.109804,3.1451
7.2e-07,-0.109804,3.17647
7.24e-07,-0.203922,3.52157
7.28e-07,-0.0784314,3.67843
7.32e-07,0.0156863,3.67843
7.36e-07,0.109804,3.61569
7.4e-07,0.0784314,3.52157
7.44e-07,-0.0784314,3.33333
